id,WhatCountryDoYouLiveIn,HowOldAreYou,WhatIsYourGender,ToWhatExtentDoYouFeelFEARDueToTheCoronavirus,ToWhatExtentDoYouFeelANXIOUSDueToTheCoronavirus,ToWhatExtentDoYouFeelANGRYDueToTheCoronavirus,ToWhatExtentDoYouFeelHAPPYDueToTheCoronavirus,ToWhatExtentDoYouFeelSADDueToTheCoronavirus,WhichEmotionisHavingTheBiggestImpactOnYou,WhatMakesYouFeelThatWay,WhatBringsYouTheMostMeaningDuringTheCoronavirusOutbreak,WhatIsYourOccupation
11,USA,70,Female,5,5,5,1,5,Anger,"The President’s lack of concern for the nation, his ignorance of the subject, his disregard of the warnings in January, his lies, his ego which takes precedence over every single American except himself. I could go on but what’s the use.","Learning as much as I can about it. Staying informed and up to date and practicing social distancing at the highest possible level.",Retired
12,Romania,46,Female,5,4,3,3,3,Anger,"The fact that there are people in the world who choose not to protect themselves and the high level of indiference.",Family,"Psychologist "
15,USA,42,Female,4,2,5,1,3,Anger,"So many people not listening to health guidelines and making this worse for all of us. Also that certain government officials did not act sooner like the president who is making this harder to have a uniform plan for the country. ",Family,Lawyer
26,Romania,37,Female,4,5,2,1,3,Anxiety,"Fear of unknown ",Reading,-1
27,USA,70,Female,2,4,2,1,1,Anxiety,"Uncertainty ",Family,-1
28,USA,42,Female,4,4,4,1,4,Anxiety,"The unknown-not knowing how long/what expectations are/length of disruption/what world will look like ",Family,-1
30,USA,73,Female,5,5,1,3,2,Anxiety,"The future is uncertain",Friends,-1
31,USA,68,Female,3,4,2,1,3,Anxiety,"Concern for family",Family,-1
33,"USA ",38,Female,2,3,5,1,3,Anxiety,"Concerns about how my community is handling the situation. ",Family,-1
34,USA,71,Female,5,5,4,1,5,Anxiety,"Not knowing what will happen and how long this will last","Witnessing people making an effort to help each other",-1
38,USA,36,Female,4,3,5,1,5,Anxiety,"I am pregnant and have a toddler at home.","Surfing the web","Security Analyst"
41,Romania,40,Female,3,4,3,2,4,Anxiety,"The news on TV and my facebook wall ",Family,Teacher
42,Romania,40,Female,4,5,3,1,5,Anxiety,"Not even being able to imagine what would come next, how is our lives going to change on the long term.",Family,"Legal adviser "
44,Romania,48,Female,2,3,1,1,4,Anxiety,"Uncertainty about the future","Being alone",Journalist
47,USA,72,Female,2,3,1,1,3,Anxiety,"The unknown and uncertainty of COVID19.","All of the above.","Hospital Administrator"
49,USA,83,Female,2,3,3,1,3,Anxiety,Uncertainties,Family,Retired
50,USA,50,Female,5,5,4,2,5,Anxiety,"I fear getting the Coronavirus and then passing it in to my family. Plus I have some underlying health conditions that are concerning. ",Family,"School Counselor"
59,USA,65,Female,5,5,4,1,4,Anxiety,"There are some things we can do, like maintaining physical distance, but there is so much that is out of our control.  That lack of control makes me anxious. What makes me angry is our lack of preparation. My husband has been fighting metastatic cancer for 2 years. He's got it in remission. But if he gets Covid and there are not enough ventilators, will he go to the discard pile because of his age and medical history. That really pisses me off",Family,"College professor"
79,USA,62,Female,4,3,3,1,4,Anxiety,"Unknown duration of this crisis",Family,"Physician "
84,USA,75,Female,5,5,3,1,1,Anxiety,"my mate",Family,Attorney
85,USA,72,Female,3,4,1,2,4,Anxiety,"Not being able to help end the virus for friends and neighbors","My faith in God","School Psychologist, Professor and Program Director for the Southeast Asian Teacher Program"
86,USA,46,Female,5,5,3,1,4,Anxiety,"i work at a hospital and am seeing patients with the virus",Family,"Speech therapist"
87,USA,70,Female,4,4,4,3,3,Anxiety,"Knowing that the people closest to me could die from this orbhavevtheir lives disruotedld dor from thi",Family,"Counselor, mistly retired"
88,USA,50,Female,4,4,4,3,3,Anxiety,"Work from home and isolation ",Friends,"Non-Profit Manager"
92,UK,38,Female,4,5,2,3,3,Anxiety,"Thinking about my elderly parents in a different country who I can’t reach. Worrying about the people who I work with who have. I job security. Wondering if I will lose my job. Hoping my partner who is self employed will be okay. Worrying about my single friend who lives alone who we can’t see in the flesh. Doubtful about the skill and integrity of our political leaders. They will let the workers in our health service down and endanger them. But - I am enjoying extra time and space and I am inspired by the local and international solidarity and the incredible voluntary effort. ",Friends,"Creative Director "
95,USA,56,Female,3,5,2,3,4,Anxiety,"The unkown, change in routine, change in work , limited face to face interactions, reacting to others fear and the News Repots",Family,"Inclusion Consultant for young children in need of Special Education"
96,USA,65,Female,3,4,2,1,3,Anxiety,"The unknown.",Family,"Retired "
97,USA,68,Female,2,3,3,1,4,Anxiety,"I feel a mixture of grief for this world and my community, my family and child. Beyond the loss from illness and death is the loss of our way of life. There are opportunities in this crisis too so I’m hoping we connect and remember we are all in this together. ","Trying to contribute to help others and supporting friends and family. ","School mental health consultant "
98,USA,61,Female,2,4,1,1,3,Anxiety,"Uncertainty in how long this will last and whether anyone I know will contract the virus",Family,"Researcher "
99,USA,75,Female,3,4,1,2,1,Anxiety,"Concern about others health and livelihood.","Being alone","Retired "
102,USA,73,Female,2,3,3,1,3,Anxiety,"Anxiety that people are not observing social distancing and anger that doctors, nurses and staff are not adequately protected when treating COVID-19 patients.","All of the above","Retired teacher"
105,USA,73,Female,3,3,2,1,4,Anxiety,"The uncertainty",Family,"Retired teacher"
106,USA,40,Female,2,3,1,1,2,Anxiety,"The uncertainty of my job after this is all over. And my husband's job because he relies on clients to keep him going.",Family,"Certified Vocational Evaluator"
107,USA,58,Female,4,5,2,1,4,Anxiety,"Loss of employment and the unknown.",Friends,"Certified Vocational Evaluator"
108,USA,51,Female,4,4,4,1,5,Anxiety,"Not working ",Family,Principal
109,USA,74,Female,5,5,3,1,4,Anxiety,"Not knowing if I or my friends will get sick, what our financial lost will be ","My dog, I have to stay well to take care of him.","Retired teacher"
114,USA,54,Female,3,4,1,1,2,Anxiety,"The unknown ",Family,N/a
115,USA,75,Female,4,4,2,1,4,Anxiety,"So many people are suffering all over the world. I feel helpless. The future is so uncertain.","faith, family, and friends",writer/teacher
116,"USA ",51,Female,3,4,3,3,4,Anxiety,"Others not adhering to cdc recommendations-causing more spreading of the virus",Family,Psychologist
118,USA,65,Female,3,3,4,2,4,Anxiety,"I had a scare when I thought I might have been exposed twice.",Friends,"Social Worker/Life Coach"
119,USA,79,Female,2,2,1,1,2,Anxiety,"awareness of the world's pandemic",Friends,Teacher
121,USA,57,Female,2,4,3,1,3,Anxiety,"Uncertainty of the future",Family,"I do External relations work for a Fortune 500 company"
123,USA,51,Female,3,4,4,1,4,Anxiety,"Lack of access to food",Reading,"Registered Asst"
124,USA,74,Female,3,4,1,4,4,Anxiety,"The uncertainty of the situation and being part of a vulnerable group",Friends,Retired/writer
128,Canada,40,Female,3,5,1,2,2,Anxiety,"anxiety is the emotion that makes me feel the least capable of being myself, and the one i least understand. i understand why i am happy and sad and fearful, but the anxiety is about mystery, about having to be in an unknowable world and how can we know if we are capable of something we don't know anything about (this new world we live in now). this is why anxiety is causing me the most trouble. thanks for asking. ","walking in the woods with my dog","PhD researcher "
130,Canada,45,Female,4,5,2,1,4,Anxiety,"It is hard to live alone and not be able to see or touch other people at all for so long - maybe months. I feel like I am missing a part of what it is to be human by not having any contact. I am also afraid that my grandmother, who is 101 will get COVID.",Friends,Lawyer
131,Canada,45,Female,2,4,1,3,3,Anxiety,"I think the anxiety I feel is normal and manageable. I'm anxious because of how my life has had to change very suddenly, and because I don't know what will happen next.",Family,Lawyer
132,"Australia ",54,Female,3,4,2,3,4,Anxiety,"I have an auto-immune illness and am immune suppressed. I have friends and family also in high risk groups - will we all be ok? I worry about the impact this will have and is already having on the most vulnerable people in communities around the world. Particularly on those my organisation works with - people seeking asylum. I have young adult children and I worry about how this will impact on their lives especially emotionally. ",Family,"Administration in a medium sized charity"
134,USA,37,Female,3,4,2,4,3,Anxiety,"The constant news and updates about death.",Family,Teacher
135,Romania,36,Female,3,4,4,2,4,Anxiety,Uncertainty,Family,Teacher
136,USA,37,Female,5,4,3,1,5,Anxiety,"There are still many unknown factors",Family,Healthcare
137,USA,58,Female,3,4,4,1,4,Anxiety,"It is hard to know what the future holds.",Family,"Vocational Evaluator"
138,USA,54,Female,4,5,5,1,5,Anxiety,"The unknown of how this will impact us now and for years to come.",Family,Teacher
139,Canada,44,Female,2,3,2,2,3,Anxiety,"Not knowing the future- how long will it last, how many people will get sick, where will my income come from? ",Family,"Actor/Director "
140,USA,42,Female,4,4,1,1,2,Anxiety,"Ensuring at risk loved ones will not contract the virus.",Family,Scientist
141,USA,68,Female,4,5,2,1,4,Anxiety,"Worried someone in my family will die",Family,Nurse
145,USA,44,Female,4,5,1,3,2,Anxiety,"people dying",Family,Professor
153,Switzerland,43,Female,3,4,3,3,2,Anxiety,"The unknown in timeframe, consequences, permanent changes.",Family,"Events Operations"
163,USA,65,Female,3,4,1,2,3,Anxiety,"I suppose it’s that I don’’t feel in control.  The virus can affect almost anyone.  And, it’s silent.  I am getting better at dealing with the anxiety as I navigate the new normal.",Family,Retired
164,Canada,41,Female,4,4,3,2,3,Anxiety,"Not knowing if I or my house-mates are exposed, not knowing when I can go back to work.","walking with friends","Technical production, performing arts"
166,"USA ",46,Female,4,4,3,3,3,Anxiety,"The fear of mgetting sick or my family.",Exercising,"Teacher "
167,"USA ",46,Female,4,4,3,3,3,Anxiety,"The fear of mgetting sick or my family.",Exercising,"Teacher "
169,USA,42,Female,5,4,2,2,4,Anxiety,"Stories from New York and Italy",Family,Physician
170,USA,77,Female,5,4,4,3,4,Anxiety,"Worried about our family, &dear hub.some med probs",Family,"therapist,, teaching writing and teaching therapy"
171,USA,42,Female,3,2,1,1,3,Anxiety,Uncertainty,God,Manager
172,UK,79,Female,3,4,4,1,3,Anxiety,"We watch too much news and it makes us anxious.",Family,"Retired teacher"
